topic_id,doc_count,topic_name,top_keywords,is_noise
70,20,70_wms_robust_alternate_bare bones,"wms, robust, alternate, bare bones, decrease, implemention, child, bones, packing slips, powerful advanced",False
71,20,71_field service_service module_field_field services,"field service, service module, field, field services, calendar, techs, board, team members, service, module",False
72,20,72_skills_change thing_accomplish task_make expensive,"skills, change thing, accomplish task, make expensive, unpleasant, faq, come accross, important information, agreement, really issues",False
73,19,73_manufacturing_traceability_production_able lot,"manufacturing, traceability, production, able lot, features compared, missing functionality, blocking, functionality lack, ability drill, serialized items",False
74,19,74_shortcuts_keyboard_shortcut_keys,"shortcuts, keyboard, shortcut, keys, keyboard shortcuts, mouse, irritates, cuts, short, cut",False
75,19,75_steps_lot steps_accomplished_complained,"steps, lot steps, accomplished, complained, granular, know specific, complete process, process simple, step, multi step",False
76,18,76_mac_windows_pc_remote desktop,"mac, windows, pc, remote desktop, apple, os, devices, style, outlook, bother",False
77,17,77_documentation_lab_lack documentation_documentation available,"documentation, lab, lack documentation, documentation available, 2026, kind hard, wealth, resources documentation, precise, soap",False
78,17,78_multiple windows_windows open_windows_window,"multiple windows, windows open, windows, window, open, new tab, open multiple, intaact, open time, tabs",False
79,17,79_1099_1099 reporting_year end_inactive accounts,"1099, 1099 reporting, year end, inactive accounts, paycheck, irs, inactive, close open, contacted support, inability generate",False
80,17,80_ar_ap_ap ar_ar ap,"ar, ap, ap ar, ar ap, ar don, thing noticed, workflow options, statements excel, team used, improved processes",False
81,16,81_vendor_vendor customer_vendors_words,"vendor, vendor customer, vendors, words, spelled, vice versa, vice, sales customer, invoice instead, getting use",False
82,16,82_workflow_workflows_altogether_optimizing,"workflow, workflows, altogether, optimizing, intuitive ui, don fit, steps workflow, unintuitive new, noticeable learning, pretty clunky",False
83,16,83_glitches_gets annoying_groupings_doesn happen,"glitches, gets annoying, groupings, doesn happen, ordinary, glitchy, feature little, glitchy times, time especially, deletes",False
84,16,84_pull data_queries_extract_tables,"pull data, queries, extract, tables, generic inquiries, data tables, certain time, data manipulation, good great, facilitate",False
85,15,85_generic inquiries_inquiries_generic_inquiry,"generic inquiries, inquiries, generic, inquiry, develop, reports custom, customization need, dashboards better, need information, power comes",False
86,15,86_mail_gmail_outlook_policies,"mail, gmail, outlook, policies, email, templates, exchange, signed, emails, module integration",False
87,15,87_good far_good work_learning time_far going,"good far, good work, learning time, far going, process learning, work easily, good good, pretty great, works perfectly, getting started",False
88,14,88_procurement_small things_specific business_customization specific,"procurement, small things, specific business, customization specific, achieve goals, better business, business business, industries, needs little, just work",False
89,14,89_search transaction_search function_search_driving,"search transaction, search function, search, driving, entry posted, fields want, defaults, search transactions, ability drill, certain parts",False
90,14,90_forms_form_custom field_drafts,"forms, form, custom field, drafts, comes creating, company prefer, looks dated, huge benefit, maybe make, nice features",False
91,14,91_mrp_blanket_wise_users better,"mrp, blanket, wise, users better, want nice, use initial, want write, improved time, items wish, bad data",False
92,14,92_internet_internet connectivity_connectivity_unreliable,"internet, internet connectivity, connectivity, unreliable, internet connection, able operate, connection required, based performance, depends internet, vpn",False
93,14,93_add ons_ons_additional costs_add,"add ons, ons, additional costs, add, businesses require, modules add, ons add, paid add, thing add, pricing plan",False
94,14,94_pos_po_retail_mechanism,"pos, po, retail, mechanism, way doesn, perfomance, aren best, po module, experience better, matching",False
95,14,95_ap_bills paid_customer refund_billable,"ap, bills paid, customer refund, billable, ap module, bills, 000, split, use modify, checks printed",False
96,13,96_api_api calls_calls_apis,"api, api calls, calls, apis, add options, hoops, expensive complicated, say add, nested, new difficult",False
97,13,97_construction_construction module_construction companies_module functionality,"construction, construction module, construction companies, module functionality, needs attention, work really, based company, firm, tools need, adjusted",False
98,13,98_negatives_negative_negative say_negative comment,"negatives, negative, negative say, negative comment, don thing, really negative, negative report, stands, negatively, honestly say",False
99,12,99_tables_access database_different module_data tables,"tables, access database, different module, data tables, users better, thing able, developments, isn available, table, different screens",False
100,12,100_ad_clicks_bit harder_clicks needed,"ad, clicks, bit harder, clicks needed, frustrating ui, small price, visualizations, interface clunky, different platforms, need need",False
101,12,101_color_eyes_dark_color scheme,"color, eyes, dark, color scheme, customisable, items lot, blue, turning, different fields, aesthetic",False
102,12,102_categories_category_automatically add_example company,"categories, category, automatically add, example company, great maybe, right time, penalties, problem don, produced, multiple things",False
103,11,103_migration_migration process_migrating_migrations,"migration, migration process, migrating, migrations, fix problems, lot improvements, difficult think, easy process, process complex, com",False
