topic_id,doc_count,label,top_keywords,is_product_cluster,macro_group,group_label
0,1269,version | accounting | enterprise,"version, accounting, enterprise, support, customer, quick, payroll, years, business",False,other,Other
33,63,crm | integration | email,"crm, integration, email, marketing, mail, templates, outlook, employees, leads, emails",False,other,Other
34,85,modules | add ons | ons,"modules, add ons, ons, module, additional, cost, bundle, additional modules, certain modules, expensive",False,pricing_licensing,Pricing & Licensing
35,128,transactions | transaction | delete,"transactions, transaction, delete, deleted, edit, undo, entries, mistake, option",False,other,Other
36,78,tax | vat | revenue,"tax, vat, revenue, taxes, revenue recognition, year, recognition, report, return",False,other,Other
37,81,project | field | projects,"project, field, projects, field service, project management, module, management, service, calendar, tracking",False,project_budgeting,Project & Budgeting
38,166,categories | learn | certain,"categories, learn, certain, areas, simplified, understand",False,other,Other
39,48,automation | reviews | reconciled,"automation, reviews, reconciled, automate, accurate, improve",False,other,Other
40,95,accounts | account | chart,"accounts, account, chart, sub, chart accounts, multiple, company, accounts payable, payable, linking",False,accounting_bookkeeping,Accounting & Bookkeeping
41,80,consolidation | entity | entities,"consolidation, entity, entities, companies, multiple entities, multiple, group, company, consolidate, subsidiary",False,multi_entity,Multi-Entity & Consolidation
42,41,fixed | fixed asset | asset,"fixed, fixed asset, asset, asset module, module, fixed assets, prepaid, assets, asset management, depreciation",False,other,Other
43,56,manufacturing | construction | limitations,"manufacturing, construction, limitations, module, functionality, industries, scheduling, industry, development, specific",False,other,Other
44,43,approval | approval process | approved,"approval, approval process, approved, approvals, status, request, pending, notification, audit, completing",True,other,Other
45,53,check | aging | ap ar,"check, aging, ap ar, vendor, bills, ar ap, module, printing",False,accounting_bookkeeping,Accounting & Bookkeeping
46,79,inquiries | generic | data,"inquiries, generic, data, tables, inquiry, queries, pull data, pull, pulling, table",False,other,Other
47,58,import | csv | imports,"import, csv, imports, importing, file, data, error, upload, export, importing data",False,reporting_analytics,Reporting & Analytics
48,37,country | english | terminology,"country, english, terminology, language, countries, consultants, versions, speak",False,other,Other
49,53,audit | trail | audit trail,"audit, trail, audit trail, changed, control, changes, deleted, logs",False,security_access,Security & Access Control
50,37,printing | print | checks,"printing, print, checks, check, printed, memo, minimize, batch, order, information",False,other,Other
51,24,wms | robust | box,"wms, robust, box, order, nearly, license, locations, doesn, native, module",False,noise,Noise / Filler
52,52,windows | open | window,"windows, open, window, tabs, windows open, screen, tab, multiple, new tab, browser",False,mobile_access,Mobile & Remote Access
53,24,pos | aging | fifo,"pos, aging, fifo, costing, inbuilt, link, retail, doesnt",False,noise,Noise / Filler
54,16,mrp | planning | wise,"mrp, planning, wise, capabilities, write, definitely improved, setup pretty, wizard, manage",False,inventory_orders,Inventory & Orders
55,20,api | calls | apis,"api, calls, apis, documentation, access, limited, little bit, development, database, track",False,other,Other
56,23,say | opinion | dont,"say, opinion, dont, criticism, impressed, accross, reversal, pricy, noticeable, havent",False,noise,Noise / Filler
57,20,dark | color | eyes,"dark, color, eyes, mode, light, text, option, little bit, customizable, green",False,other,Other
58,24,migration | migrating | conversion,"migration, migrating, conversion, transferring, com, premise, transfer, people, team, exit",False,other,Other
